annot_id	pmid	triple_id	subject_name	subject_type	predicate	object_name	object_type	evidence_span	evidence_type	your_confidence	notes
A009	32888430	T0	-	-	NONE	-	-	Throughout a 24-h period, the small intestine (SI) is exposed to diurnally varying food- and microbiome-derived antigenic burdens... driving Crohn-like enteritis	-	-	Off-scope: Focuses on circadian clock disarrangement, general feeding timing, and host immunological checkpoints (MHC II/IL-10); no specific food components or distinct microbial taxa identified
A010	32672323	T1	riboflavin	Food	decreases_marker	Crohn's disease	IBD_Outcome	Three weeks of riboflavin supplementation resulted in a reduction in systemic oxidative stress, mixed anti-inflammatory effects, and a reduction in clinical symptoms [HBI].	rct	0.85	n=70; Harvey-Bradshaw Index reduced
A010	32672323	T2	Escherichia	Microbe	decreased_in	Crohn's disease	IBD_Outcome	FISH analysis showed decreased Enterobacteriaceae in patients with CD with low FC levels	rct	0.7	Enterobacteriaceae used as proxy; lowered confidence due to family-to-genus inference
A011	27591605	T1	Faecalibacterium	Microbe	decreased_in	Crohn's disease	IBD_Outcome	In CD, low BCoAT gene content was associated with... decreased butyrogenic taxa.	cohort	0.85	BCoAT gene content proxy; n=71 CD vs 75 controls
A011	27591605	T2	dietary fibre	Food	increases_abundance_of	Faecalibacterium	Microbe	Reduced BCoAT gene content in patients with CD was linked with a different regimen characterised by lower dietary fibre.	cohort	0.7	Notes: correlational evidence from dietary questionnaire; butyrogenic taxa as proxy
A012	32707338	T1	oat beta-glucan	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Overall, our study revealed that oat β-glucan ameliorated DSS-induced colitis in mice simultaneously through regulating gut-derived short-chain fatty acids (SCFAs) and microbial metabolic biomarkers.	animal	0.7	DSS mouse model
A012	32707338	T2	oat beta-glucan	Food	increases_abundance_of	Akkermansia	Microbe	Akkermansia was significantly increased in the β-glucan group compared with the DSS group (p < 0.05).	animal	0.7	p < 0.05
A013	33240217	T1	Faecalibacterium	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	Antibiotic treatment reduced... beneficial species, such as Faecalibacterium prausnitzii.	cohort	0.85	n=49; pouchitis context in UC
A013	33240217	T2	Escherichia	Microbe	increased_in	ulcerative colitis	IBD_Outcome	The microbiomes of antibiotic-responsive patients were dominated by facultative anaerobic genera (Escherichia, Enterococcus, and Streptococcus)	cohort	0.85	pouchitis model in UC
A014	34444901	T1	resveratrol	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Resveratrol (RSV) treatment significantly reduced the disease activity index (DAI), alleviated the colonic pathological damage and shortened the colon length in DSS-induced mice.	animal	0.7	DSS mouse model; Resveratrol from FoodOn:03310515
A014	34444901	T2	Lactobacillus	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	At the genus level, the relative abundances of Lactobacillus and Bifidobacterium were decreased in the DSS group	animal	0.7	Baseline dysbiosis in mouse model
A015	31518251	T1	green tea	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Green tea polyphenols (GTP) significantly alleviated the clinical symptoms and colonic pathological damage in DSS-induced colitis mice.	animal	0.65	Indirect: via polyphenols
A016	33604082	T1	pomegranate peel	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Pomegranate peel polyphenols (PPP) significantly attenuated DSS-induced colitis symptoms, such as weight loss and diarrhea.	animal	0.65	Indirect: via polyphenols; DSS mouse model
A016	33604082	T2	pomegranate peel	Food	increases_abundance_of	Faecalibacterium	Microbe	PPP treatment also significantly increased the abundance of beneficial bacteria including Faecalibacterium.	animal	0.7	DSS mouse model
A017	32050369	T1	quercetin	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Oral administration of quercetin (QR) significantly reduced DAI and improved histological damage in colitis mice.	animal	0.7	DSS mouse model; Quercetin from FoodOn:03311145
A018	33261541	T1	inulin	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Inulin supplementation effectively reduced the weight loss and disease activity index in DSS-challenged mice.	animal	0.7	Inulin from FoodOn:03310243
A018	33261541	T2	inulin	Food	increases_abundance_of	Bifidobacterium	Microbe	Furthermore, inulin significantly increased the abundance of Bifidobacterium and Lactobacillus.	animal	0.7	Bifidogenic effect in mice
A019	39029137	T1	Lactobacillus plantarum / alpha-lactalbumin hydrolysate combination	Food	decreases_marker	ulcerative colitis	IBD_Outcome	the synergistic application of alpha-LA hydrolysate and L69-2 could alleviate the adverse impact of colon inflammation	animal	0.75	Colitis mouse model; combined probiotic + active peptide mapped as Food supplement proxy
A020	32915830	T1	curcumin	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Curcumin significantly improved clinical symptoms, decreased the disease activity index, and prevented colon shortening in DSS-induced mice.	animal	0.7	DSS mouse model; Curcumin from FoodOn:03310168
A021	39880230	T1	Polygonatum sibiricum polysaccharide	Food	decreases_marker	ulcerative colitis	IBD_Outcome	PSSP-EF could dramatically relieve clinical symptoms of ulcerative colitis (UC) in mice. Treatment with PSSP-EF significantly alleviated colon inflammation	animal	0.8	DSS UC mouse model; botanical polysaccharide extracted mapped as Food
A021	39880230	T2	Polygonatum sibiricum polysaccharide	Food	increases_abundance_of	Muribaculaceae	Microbe	regulated the balance of gut microbiota by increased the levels of Muribaculaeae	animal	0.8	Family Muribaculaceae mapped (spelled Muribaculaeae in text)
A021	39880230	T3	Polygonatum sibiricum polysaccharide	Food	decreases_abundance_of	Bacteroides	Microbe	while decreasing the levels of Bacteroides, Erysipelatoclostridium, and Romboutsia	animal	0.8	Genus Bacteroides mapped
A021	39880230	T4	Polygonatum sibiricum polysaccharide	Food	decreases_abundance_of	Erysipelatoclostridium	Microbe	while decreasing the levels of Bacteroides, Erysipelatoclostridium, and Romboutsia	animal	0.8	Genus Erysipelatoclostridium mapped
A021	39880230	T5	Polygonatum sibiricum polysaccharide	Food	decreases_abundance_of	Romboutsia	Microbe	while decreasing the levels of Bacteroides, Erysipelatoclostridium, and Romboutsia	animal	0.8	Genus Romboutsia mapped
A022	32560300	T1	pectin	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Results showed that citrus pectin treatment effectively attenuated weight loss, colon shortening and histological damage in DSS-induced mice.	animal	0.7	Citrus pectin from FoodOn:00002131
A023	40899722	T0	-	-	NONE	-	-	Sunset yellow (SY) is a widely used food additive... SY exposure exacerbated dextran sulfate sodium (DSS)-induced UC symptoms in mice	-	-	Off-scope: Additive exacerbates/worsens the disease; our schema restricts Food -> IBD_Outcome to 'decreases_marker' (therapeutic/alleviative effects only)
A024	34188540	T1	bilberry	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Bilberry anthocyanin extract (BAE) significantly reduced clinical activity and histological damage in the DSS mouse model.	animal	0.65	Indirect: via anthocyanins
A024	34188540	T2	bilberry	Food	increases_abundance_of	Akkermansia	Microbe	Notably, BAE treatment significantly enriched the abundance of Akkermansia muciniphila in colitis mice.	animal	0.7	DSS mouse model
A025	40928298	T1	phosvitin	Food	decreases_marker	ulcerative colitis	IBD_Outcome	These findings suggest that PSV alleviates colitis primarily through gut microbiota modulation.	animal	0.7	DSS mouse model
A025	40928298	T2	phosvitin	Food	decreases_abundance_of	Escherichia	Microbe	Furthermore, PSV modulated the gut microbiota by enhancing microbial diversity, decreasing the abundance of Escherichia-Shigella and Akkermansia	animal	0.7	Escherichia used as proxy for Escherichia-Shigella
A025	40928298	T3	phosvitin	Food	decreases_abundance_of	Akkermansia	Microbe	Furthermore, PSV modulated the gut microbiota by enhancing microbial diversity, decreasing the abundance of Escherichia-Shigella and Akkermansia	animal	0.7	DSS mouse model
A025	40928298	T4	phosvitin	Food	increases_abundance_of	Clostridium	Microbe	while increasing the abundance of Lachnospiraceae and Clostridium.	animal	0.7	DSS mouse model
A026	28713353	T1	Faecalibacterium prausnitzii	Microbe	produces	butyrate	Bioactive	Indeed, the butyrate production has been correlated to the capacity to induce IL-10, an anti-inflammatory cytokine, in peripheral blood mononuclear cells (PBMC) but not to the ability to block IL-8 secretion in TNF-α-stimulated HT-29 cells, reinforcing the hypothesis of a complex anti-inflammatory pathway driven by F. prausnitzii.	mechanistic	0.8	In vitro characterization of healthy isolates. Note: Cytokine induction (IL-10) excluded per schema, captured functionally via butyrate.
A026	28713353	T2	Faecalibacterium prausnitzii	Microbe	decreased_in	Crohn's disease	IBD_Outcome	F. prausnitzii depletion has been reported in several intestinal disorders, and more consistently in Crohn's disease (CD) patients.	cohort	0.85	Hedged language ('has been reported'); cited as prior knowledge in background of strain isolation paper
A027	32219260	T1	tilapia head glycolipids	Food	decreases_marker	inflammatory bowel disease	IBD_Outcome	The results indicate that TH-GLs alleviate DSS-induced IBD in mice by decreasing the abundance of harmful gut microbiota and enhancing the abundance of probiotic gut microbiota.	animal	0.7	DSS mouse model
A027	32219260	T2	tilapia head glycolipids	Food	decreases_abundance_of	Escherichia	Microbe	Both sulfasalazine and TH-GLs decreased the DSS-induced enrichment of Gammaproteobacteria and Enterobacteriaceae.	animal	0.7	Enterobacteriaceae used as proxy for Escherichia
A027	32219260	T3	tilapia head glycolipids	Food	increases_abundance_of	Akkermansia	Microbe	However, TH-GLs had a selective increase in the enrichment of Akkermansia, Prevotellaceae, Oscillospira, Allobaculum, Bifidobacterium, and Coprococcus in contrast to sulfasalazine	animal	0.7	DSS mouse model
A027	32219260	T4	tilapia head glycolipids	Food	increases_abundance_of	Bifidobacterium	Microbe	However, TH-GLs had a selective increase in the enrichment of Akkermansia, Prevotellaceae, Oscillospira, Allobaculum, Bifidobacterium, and Coprococcus in contrast to sulfasalazine	animal	0.7	DSS mouse model
A027	32219260	T5	tilapia head glycolipids	Food	increases_abundance_of	Coprococcus	Microbe	However, TH-GLs had a selective increase in the enrichment of Akkermansia, Prevotellaceae, Oscillospira, Allobaculum, Bifidobacterium, and Coprococcus in contrast to sulfasalazine	animal	0.7	DSS mouse model
A028	33430702	T1	Faecalibacterium	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Pediatric CD patients exhibited lower relative abundances of short-chain fatty acids (SCFAs)-producing bacteria including Faecalibacterium, Clostridium clusters IV and XIVb, Roseburia, and Ruminococcus	cohort	0.85	n=49 (29 CD, 20 healthy)
A028	33430702	T2	Clostridium	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Pediatric CD patients exhibited lower relative abundances of short-chain fatty acids (SCFAs)-producing bacteria including Faecalibacterium, Clostridium clusters IV and XIVb, Roseburia, and Ruminococcus	cohort	0.85	Specifically clusters IV and XIVb
A028	33430702	T3	Roseburia	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Pediatric CD patients exhibited lower relative abundances of short-chain fatty acids (SCFAs)-producing bacteria including Faecalibacterium, Clostridium clusters IV and XIVb, Roseburia, and Ruminococcus	cohort	0.85	
A028	33430702	T4	Ruminococcus	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Pediatric CD patients exhibited lower relative abundances of short-chain fatty acids (SCFAs)-producing bacteria including Faecalibacterium, Clostridium clusters IV and XIVb, Roseburia, and Ruminococcus	cohort	0.85	
A028	33430702	T5	Faecalibacterium	Microbe	produces	short chain fatty acid	Bioactive	Pediatric CD patients exhibited lower relative abundances of short-chain fatty acids (SCFAs)-producing bacteria including Faecalibacterium, Clostridium clusters IV and XIVb, Roseburia, and Ruminococcus	cohort	0.85	SCFA production explicitly defined
A028	33430702	T6	Bifidobacterium	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Decreased unconjugated bile acids (BAs) pool size and a lower unconjugated/conjugated BAs ratio were associated with reduced relative abundances of Bifidobacterium and Clostridium clusters IV and XIVb	cohort	0.8	Reduction implicitly linked to the CD patient cohort baseline vs healthy
A029	33970546	T1	Bilophila	Microbe	increased_in	ulcerative colitis	IBD_Outcome	LEfSe analysis showed that the genus Roseburia and Faecalibacterium were enriched in remission pancolitis, and genera Bilophila and Fusobacterium were enriched in active pancolitis.	cohort	0.85	n=33 (18 UC, 15 healthy); enriched in active disease
A029	33970546	T2	Fusobacterium	Microbe	increased_in	ulcerative colitis	IBD_Outcome	LEfSe analysis showed that the genus Roseburia and Faecalibacterium were enriched in remission pancolitis, and genera Bilophila and Fusobacterium were enriched in active pancolitis.	cohort	0.85	n=33; enriched in active disease
A029	33970546	T3	Roseburia	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	LEfSe analysis showed that the genus Roseburia and Faecalibacterium were enriched in remission pancolitis, and genera Bilophila and Fusobacterium were enriched in active pancolitis.	cohort	0.85	Enriched in remission/healthy = decreased in active UC state
A029	33970546	T4	Faecalibacterium	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	LEfSe analysis showed that the genus Roseburia and Faecalibacterium were enriched in remission pancolitis, and genera Bilophila and Fusobacterium were enriched in active pancolitis.	cohort	0.85	Enriched in remission/healthy = decreased in active UC state
A030	34149723	T0	-	-	NONE	-	-	FMT provoked enrichment of the Bacteroidota phylum and Prevotella genus... The most relevant result was the lack of Akkermansia engraftment in UC.	-	-	Off-scope: Fecal microbiota transplantation (FMT) is a clinical/procedural intervention, not a specific single-taxon or Food component
A031	34269367	T0	-	-	NONE	-	-	Our probiotic validation results showed that B. dentium N8 had a higher adhesion ability and a more substantial inhibition effect on Escherichia coli... indicate that it could be used as a novel therapy for IBD	-	-	Off-scope: purely in vitro cell line models (Caco-2/HT-29) and comparative genomics without any clinical or complex animal IBD model demonstrating decreased disease markers
A032	34812117	T1	Escherichia	Microbe	increased_in	Crohn's disease	IBD_Outcome	AIEC was significantly more prevalent in ileal tissues of patients with CD than controls (30% vs 7.1%).	cohort	0.85	n=116 (60 CD, 56 healthy); AIEC (Adherent invasive E. coli) mapped to Escherichia proxy
A032	34812117	T2	Roseburia	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Presence of AIEC in ileal tissues was associated with more severe mucosa microbiota dysbiosis in CD with decreased diversity and lower abundance of Firmicutes including butyrate producing Roseburia and probiotic Bacillus.	cohort	0.8	Decreased abundance observed as part of CD dysbiosis
A032	34812117	T3	Roseburia	Microbe	produces	butyrate	Bioactive	Presence of AIEC in ileal tissues was associated with more severe mucosa microbiota dysbiosis in CD with decreased diversity and lower abundance of Firmicutes including butyrate producing Roseburia and probiotic Bacillus.	cohort	0.8	Stated functionally as butyrate-producing
A033	35494313	T1	Bifidobacterium	Microbe	increased_in	ulcerative colitis	IBD_Outcome	in addition, Bifidobacterium, Coriobacteriaceae_UCG-002 and Enterorhabdus did not change in the first 14 days but increased significantly on day 21.	animal	0.7	DSS mouse model; final state at day 21
A033	35494313	T2	Enterorhabdus	Microbe	increased_in	ulcerative colitis	IBD_Outcome	in addition, Bifidobacterium, Coriobacteriaceae_UCG-002 and Enterorhabdus did not change in the first 14 days but increased significantly on day 21.	animal	0.7	DSS mouse model; final state at day 21
A034	35597403	T0	-	-	NONE	-	-	we develop a strategy utilizing monodisperse hydrogel microcapsules with a thin intermediate oil layer prepared by a triple-emulsion drop-based microfluidic approach	-	-	Off-scope: stem cell therapy inside a bioengineered delivery vehicle; not a Food or Microbe intervention
A037	36619196	T1	Sishen Wan	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Administration of SSW significantly improved the pathological changes of colon tissue in UC rats and could attenuate the DAI and CMDI scores, and the HS.	animal	0.75	DNBS UC rat model; TCM botanical formula mapped as Food proxy
A037	36619196	T2	Sishen Wan	Food	increases_abundance_of	Lactobacillus	Microbe	an increase in the relative abundance of Lactobacillus at the genus level.	animal	0.8	Genus Lactobacillus explicitly mapped
A038	37774039	T1	Escherichia coli	Microbe	increased_in	ulcerative colitis	IBD_Outcome	LEfSe analysis revealed bacterial biomarkers distinguishing the two groups, with significantly higher levels of commonly encountered pathogens such as Escherichia coli and Shigella flexneri in the UC group	animal	0.85	DSS mouse model; specific species extracted
A038	37774039	T2	Shigella flexneri	Microbe	increased_in	ulcerative colitis	IBD_Outcome	LEfSe analysis revealed bacterial biomarkers distinguishing the two groups, with significantly higher levels of commonly encountered pathogens such as Escherichia coli and Shigella flexneri in the UC group	animal	0.85	DSS mouse model; specific species extracted
A038	37774039	T3	Bifidobacterium pseudolongum	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	whereas beneficial species such as Bifidobacterium pseudolongum were more abundant in the control group.	animal	0.85	DSS mouse model; decreased_in inferred from 'more abundant in the control group'
A039	38004116	T0	-	-	NONE	-	-	Akkermansia muciniphila-derived extracellular vesicles (Akk EVs) are nano-vesicles that contain multiple bioactive macromolecules... Akk EVs effectively prevented colitis symptoms	-	-	Off-scope: Microbial extracellular vesicles (EVs) are subcellular fractions/bioengineered components, not a live Microbe or whole Food
A040	38293816	T1	lactoferricin B	Food	decreases_marker	ulcerative colitis	IBD_Outcome	In conclusion, oral administration of LfcinB significantly alleviated DSS-induced UC.	animal	0.7	DSS mouse model; LfcinB is a bovine lactoferrin peptide
A040	38293816	T2	lactoferricin B	Food	decreases_abundance_of	Bacteroides	Microbe	It also significantly suppressed the relative abundance of potentially pathogenic bacteria (Bacteroides, Barnesiella and Escherichia) in the intestinal flora.	animal	0.7	DSS mouse model
A040	38293816	T3	lactoferricin B	Food	decreases_abundance_of	Barnesiella	Microbe	It also significantly suppressed the relative abundance of potentially pathogenic bacteria (Bacteroides, Barnesiella and Escherichia) in the intestinal flora.	animal	0.7	DSS mouse model
A040	38293816	T4	lactoferricin B	Food	decreases_abundance_of	Escherichia	Microbe	It also significantly suppressed the relative abundance of potentially pathogenic bacteria (Bacteroides, Barnesiella and Escherichia) in the intestinal flora.	animal	0.7	DSS mouse model
A041	38930512	T0	-	-	NONE	-	-	This study quantified the microbial composition of parasitic cysts in a wild rodent	-	-	Off-scope: Wild vole study regarding tapeworm cysts; no IBD model evaluated
A042	39013472	T0	-	-	NONE	-	-	we disrupt mitochondrial function in the epithelium by deleting the mitochondrial chaperone, heat shock protein 60 (Hsp60delta/deltaIEC)	-	-	Off-scope: Genetic knockout host model to study epithelial mitochondrial dysfunction. No tested dietary intervention.
A043	39039348	T1	Ophiopogonin D	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Overall, Ophiopogonin D significantly affects intestinal microbiota composition, thereby improving symptoms of DSS-induced colitis in mice.	animal	0.75	DSS mouse model; Ophiopogonin D is a plant-derived bioactive
A043	39039348	T2	Ophiopogonin D	Food	increases_abundance_of	Akkermansia	Microbe	Furthermore, compared to the DSS-treatment group, Ophiopogonin-D treatment improved the α- and β-diversity indices of the mouse intestinal microbiota, along with an increase in the abundance of genera such as Akkermansia (AKK)	animal	0.8	DSS mouse model
A043	39039348	T3	Ophiopogonin D	Food	decreases_abundance_of	Enterobacter	Microbe	and a decrease in the abundance of genera such as Enterobacter.	animal	0.8	DSS mouse model
A043	39039348	T4	Akkermansia	Microbe	produces	propionic acid	Bioactive	Notably, propionic acid, a metabolite of AKK, demonstrated significant improvement in the symptoms of DSS-induced colitis in mice compared to the control.	animal	0.85	Explicitly states propionic acid is a metabolite of Akkermansia
A044	39326132	T1	Puerarin	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Puerarin exerted a direct and robust suppression of M1-like polarization of macrophages in vitro, which was sufficient to confer therapeutic benefits in terms of colonic lesions and systemic inflammation in DSS mice.	animal	0.75	DSS mouse model; Puerarin is a plant-derived active compound (Pueraria lobata root)
A044	39326132	T2	Puerarin	Food	decreases_abundance_of	Akkermansia muciniphila	Microbe	Puerarin also reduced the abundance of Akkermansia muciniphila in the gut	animal	0.8	DSS mouse model
A044	39326132	T3	Akkermansia muciniphila	Microbe	increased_in	ulcerative colitis	IBD_Outcome	which was significantly upregulated in DSS mice in our experimental context.	animal	0.85	DSS mouse model baseline vs control
A045	39673746	T0	-	-	NONE	-	-	We conducted a single-arm interventional study... treated with OV [oral vancomycin]	-	-	Off-scope: Explicit antibiotic intervention mapping (vancomycin); strictly excluded per schema rules
A046	39734222	T0	-	-	NONE	-	-	Treatment with live Akkermansia muciniphila in DSS model	-	-	Off-scope: live probiotic intervention, no schema predicate for Microbe-as-treatment
A047	40369923	T1	Lactobacillus	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	At the genus level, the relevant abundance of Lactobacillus decreased	animal	0.85	DSS mouse model; baseline dysbiosis in the untreated model group vs control
A047	40369923	T2	Phascolarctobacterium	Microbe	increased_in	ulcerative colitis	IBD_Outcome	while that of Lachnospiraceae_NK4A136_group and Phascolarctobacterium increased	animal	0.85	DSS mouse model; baseline dysbiosis in the untreated model group vs control
A048	40407723	T1	jujube powder	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Here, we propose a novel synbiotic consisting of jujube powder and Faecalibacterium prausnitzii and confirm its effectiveness in ameliorating DSS-induced mouse colitis symptoms	animal	0.75	DSS mouse model; jujube powder administered as part of a synbiotic combination
A048	40407723	T2	jujube powder	Food	increases_abundance_of	Parasutterella	Microbe	The synbiotic also enriched the diversity of the gut microbiota, in which anti-inflammatory microorganisms such as Parasutterella and Parabacteroides were increased	animal	0.75	DSS mouse model; administered as synbiotic
A048	40407723	T3	jujube powder	Food	increases_abundance_of	Parabacteroides	Microbe	The synbiotic also enriched the diversity of the gut microbiota, in which anti-inflammatory microorganisms such as Parasutterella and Parabacteroides were increased	animal	0.75	DSS mouse model; administered as synbiotic
A049	40761499	T1	Abeliophyllum distichum extract	Food	decreases_marker	ulcerative colitis	IBD_Outcome	ADE alleviated the DSS-induced colitis symptoms, protected against colonic tissue damage	animal	0.75	DSS mouse model; ADE is a botanical leaf extract
A049	40761499	T2	Abeliophyllum distichum extract	Food	decreases_abundance_of	Escherichia	Microbe	In contrast, ADE... restored the balance of Enterobacteriaceae and Bifidobacterium levels in the colon.	animal	0.75	Restored balance indicates reversing the increase; Enterobacteriaceae mapped to Escherichia proxy
A049	40761499	T3	Abeliophyllum distichum extract	Food	increases_abundance_of	Bifidobacterium	Microbe	In contrast, ADE... restored the balance of Enterobacteriaceae and Bifidobacterium levels in the colon.	animal	0.75	Restored balance indicates reversing the decrease
A049	40761499	T4	Escherichia	Microbe	increased_in	ulcerative colitis	IBD_Outcome	the increase in Enterobacteriaceae abundance and a decrease in Bifidobacterium in the colon, were evaluated during DSS treatment.	animal	0.85	Baseline DSS model dysbiosis; Enterobacteriaceae mapped to Escherichia proxy
A049	40761499	T5	Bifidobacterium	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	the increase in Enterobacteriaceae abundance and a decrease in Bifidobacterium in the colon, were evaluated during DSS treatment.	animal	0.85	Baseline DSS model dysbiosis
A050	40935302	T0	-	-	NONE	-	-	Barrier device blocks E. coli penetration	-	-	Off-scope: materials science / drug delivery
A051	27218415	T1	epigallocatechin-3-gallate	Food	decreases_marker	ulcerative colitis	IBD_Outcome	EGCG treatment mitigated DSS-induced colon shortening and spleen enlargement.	animal	0.75	DSS mouse model; EGCG mapped as a dietary/botanical intervention (Food)
A052	28282584	T1	pomegranate beverage	Food	decreases_marker	ulcerative colitis	IBD_Outcome	PG protected against DSS-induced colon inflammation and ulceration... These results suggest that pomegranate polyphenols attenuated DSS-induced colitis	animal	0.75	DSS rat model; beverage containing pomegranate polyphenolics
A052	28282584	T2	pomegranate beverage	Food	increases_abundance_of	Ruminococcaceae	Microbe	The intestinal microbiota of rats treated with PG showed a significant increase in Ruminococcaceae	animal	0.8	DSS rat model
A053	32014479	T1	alpha-D-glucan YCP	Food	decreases_marker	ulcerative colitis	IBD_Outcome	The results showed YCP could improve the general symptoms, reestablish the intestinal immune balance, and repair the mucosal barrier in colitis mice.	animal	0.7	DSS mouse model; administered via IP injection; mapped as functional food component proxy
A054	28637899	T0	-	-	NONE	-	-	High dietary salt drives inflammation in IBD	-	-	Off-scope: exacerbation effect, no approved predicate
A055	32726162	T0	-	-	NONE	-	-	Microbiota-gut-brain axis in pediatric colitis	-	-	Off-scope: characterizing pediatric model, no dietary intervention
A056	32856645	T1	flaxseed oligosaccharide	Food	decreases_marker	ulcerative colitis	IBD_Outcome	The results showed that FOS treatment (200 mg kg-1 d-1) significantly ameliorated colitis by decreasing disease activity index (DAI), increasing colon length and improving colonic histology.	animal	0.75	DSS mouse model; mapped to Food
A057	34155310	T0	-	-	NONE	-	-	Thermostability of C-reactive protein complexes	-	-	Off-scope: diagnostics biochemistry
A058	35440728	T1	Escherichia coli	Microbe	increased_in	Crohn's disease	IBD_Outcome	CST was degraded by Escherichia coli via an omptin-protease and that the abundance of this gene was significantly higher in metagenomic datasets collected from patients with Crohn's disease	cohort	0.7	Proxy inference: omptin-protease gene abundance from E. coli used as proxy for E. coli abundance in CD patients
A059	38203712	T1	red cabbage juice	Food	decreases_marker	ulcerative colitis	IBD_Outcome	RCJ treatment significantly improved body weight (p <= 0.001), survival in mice (p < 0.001) and reduced disease activity index (DAI) scores... Our study demonstrates colitis remission in a DSS-induced mouse model	animal	0.75	DSS mouse model proxy for UC
A060	38542428	T1	L-tryptophan	Food	decreases_marker	ulcerative colitis	IBD_Outcome	In the 2% DSS-induced colitis-mouse model, Trp administration (100 mg/kg) led to... a significant decrease in the inflammation score.	animal	0.75	DSS mouse model; L-tryptophan mapped to Food
A061	38637862	T0	-	-	NONE	-	-	SCFA-producing bacterial 7-mix for UC	-	-	Off-scope: non-resolvable strain blend
