pmid	triple_id	subject_name	subject_type	predicate	object_name	object_type	evidence_span	evidence_type	confidence	notes
39573890	T3	agarwood leaf polyphenolic extract	Food	decreases_abundance_of	Bacteroides	Microbe	decreasing the abundances of Bacteroides and Phocaeicola	animal	0.8	DSS-induced colitis model
39573890	T4	agarwood leaf polyphenolic extract	Food	decreases_abundance_of	Phocaeicola	Microbe	decreasing the abundances of Bacteroides and Phocaeicola	animal	0.8	DSS-induced colitis model
36798884	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41614862	T1	prebiotic mixture extract	Food	decreases_marker	ulcerative colitis	IBD_Outcome	In a DSS-induced colitis mouse model, PME administration alleviated disease severity by increasing colon length, reducing serum levels of inflammatory cytokines and COX-2/PGE2, and restoring intestinal permeability	animal	0.8	DSS-induced colitis mouse model; PME mixture from mung bean, red bean, and fennel
41614862	T2	prebiotic mixture extract	Food	increases_abundance_of	Bifidobacterium	Microbe	PME modulated the gut microbiota by enhancing beneficial bacteria such as Bifidobacterium and Faecalibaculum	animal	0.8	DSS-induced colitis mouse model
41614862	T3	prebiotic mixture extract	Food	increases_abundance_of	Faecalibaculum	Microbe	PME modulated the gut microbiota by enhancing beneficial bacteria such as Bifidobacterium and Faecalibaculum	animal	0.8	DSS-induced colitis mouse model
41614862	T4	prebiotic mixture extract	Food	decreases_abundance_of	Escherichia	Microbe	PME modulated the gut microbiota by enhancing beneficial bacteria such as Bifidobacterium and Faecalibaculum while suppressing inflammation-associated taxa, including Escherichia, Bacteroides, and Mucispirillum	animal	0.8	DSS-induced colitis mouse model; kept only most emphasized taxa from suppression list
41614862	T5	prebiotic mixture extract	Food	contains	vitexin	Bioactive	Vitexin, a C-glycosylated flavonoid, was detected in PME and is expected to mediate these protective effects	mechanistic	0.85	Vitexin identified as active component in prebiotic mixture extract
27448578	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39069899	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
25999470	T1	Butyricicoccus pullicaecorum 25-3T	Microbe	produces	butyrate	Bioactive	Butyricicoccus pullicaecorum 25-3(T), a butyrate-producing clostridial cluster IV strain	mechanistic	0.9	Explicit designation as butyrate-producing strain
40564140	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33652919	T1	tuna bioactive peptide	Food	decreases_marker	ulcerative colitis	IBD_Outcome	TBP significantly reduced mice weight loss and improved morphological and pathological characteristics of colon tissues	animal	0.8	DSS-induced UC mouse model; low molecular weight peptides from tuna enzymatic hydrolysis
33652919	T2	tuna bioactive peptide	Food	increases_abundance_of	intestinal flora	Microbe	TBP increased the short-chain fatty acids (SCFAs) levels and the diversity and imbalance of intestinal flora	animal	0.65	General microbiota improvement mentioned; not specific taxa
37336149	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35600873	T1	Lactobacillus acidophilus + Huan Kui Le suspension	Food	decreases_marker	ulcerative colitis	IBD_Outcome	this treatment alleviated the disruption of the metabolic profile observed in UC rats	animal	0.8	Combination probiotic and traditional Chinese medicine treatment in UC rat model
35600873	T2	Lactobacillus acidophilus + Huan Kui Le suspension	Food	decreases_abundance_of	Klebsiella	Microbe	gut microbiota structure changed, shown by a decrease in opportunistic pathogens correlated with intestinal inflammation, such as Klebsiella and Escherichia-Shigella	animal	0.8	16S rRNA sequencing in UC rat model; Klebsiella emphasized as opportunistic pathogen
35600873	T3	Lactobacillus acidophilus + Huan Kui Le suspension	Food	increases_abundance_of	Bifidobacterium	Microbe	an increase in beneficial bacteria such as Bifidobacterium	animal	0.8	16S rRNA sequencing in UC rat model; most emphasized beneficial bacterium
40957908	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41287530	T1	7-ketositosterol	Food	decreases_marker	colitis	IBD_Outcome	KS exacerbates colitis in a gut microbiota-dependent manner in mice	animal	0.8	DSS-induced colitis model; 7-ketositosterol (KS) mapped as Food ingredient from ultra-processed foods
41287530	T2	7-ketositosterol	Food	increases_abundance_of	Staphylococcus lentus	Microbe	KS exacerbates colitis in a gut microbiota-dependent manner in mice, altering the gut microbiota composition and increasing the abundance of potential pathogenic bacteria, especially Staphylococcus lentus (SL)	animal	0.85	Species explicitly emphasized with individual mechanism; SL chosen as most emphasized pathogenic taxon
41287530	T3	Staphylococcus lentus	Microbe	increased_in	colitis	IBD_Outcome	Moreover, SL aggravates DSS-induced colitis	animal	0.8	Observation of SL aggravating disease; direct mechanistic demonstration in DSS model
34519941	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40599116	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39122361	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35444617	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
31232832	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38016701	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38860296	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
42036713	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32045645	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
32707285	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40356895	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
37317332	T1	Lactobacillus sakei CVL-001	Food	decreases_marker	ulcerative colitis	IBD_Outcome	The oral administration of L. sakei CVL-001 according to the experimental schedule alleviated weight loss and disease activity in the mice with colitis. Furthermore, the length and histopathology of the colon improved.	animal	0.8	DSS-induced colitis mouse model; probiotic strain administered orally
37317332	T2	Lactobacillus sakei CVL-001	Food	increases_abundance_of	Firmicutes	Microbe	Microbiota analysis revealed that L. sakei CVL-001 administration increased the abundance of microbiota and altered Firmicutes/Bacteroidetes ratio	animal	0.75	Altered Firmicutes/Bacteroidetes ratio in DSS mouse model
37317332	T3	Lactobacillus sakei CVL-001	Food	decreases_abundance_of	Proteobacteria	Microbe	Microbiota analysis revealed that L. sakei CVL-001 administration increased the abundance of microbiota and altered Firmicutes/Bacteroidetes ratio, and decreased Proteobacteria.	animal	0.8	Direct measurement in DSS mouse model
37341480	T1	selenium-containing soybean peptides	Food	decreases_marker	ulcerative colitis	IBD_Outcome	low-dose SePPs (15 μg Se per kg per d bw) could effectively alleviate DSS-induced inflammatory bowel disease through the improvement of the antioxidant levels, reduction of inflammatory factor levels	animal	0.8	DSS-induced colitis mouse model; dose-dependent effect
37341480	T2	selenium-containing soybean peptides	Food	increases_abundance_of	Lachnospiraceae NK4A136 group	Microbe	SePPs could improve intestinal microbiota diversity, significantly increasing the Firmicutes/Bacteroidetes ratio and the abundance of some beneficial genera, such as Lachnospiraceae_NK4A136_group	animal	0.8	Specifically identified as beneficial genus; P<0.05
37341480	T3	selenium-containing soybean peptides	Food	increases_abundance_of	Lactobacillus	Microbe	SePPs could improve intestinal microbiota diversity, significantly increasing the Firmicutes/Bacteroidetes ratio and the abundance of some beneficial genera, such as Lachnospiraceae_NK4A136_group and Lactobacillus	animal	0.8	Specifically identified as beneficial genus; P<0.05
33748287	T1	nicotinamide	Food	decreases_marker	ulcerative colitis	IBD_Outcome	NAM treatment ameliorated weight loss and changes in colon length, disease activity index (DAI) score, and histologic scores	animal	0.8	DSS-induced chronic colitis mouse model; nicotinamide intervention showed clinical improvement
33748287	T2	nicotinamide	Food	increases_abundance_of	Bifidobacterium	Microbe	NAM modulated specific bacteria, including Odoribacter, Flexispira, and Bifidobacterium, in the NAM+chronic colitis group	animal	0.75	Genus Bifidobacterium; modulation indicates adjustment of abundance in the NAM-treated group
35832050	T1	sulforaphane	Food	decreases_marker	ulcerative colitis	IBD_Outcome	SFN treatment. In DSS colitis mice, the hallmarks of disease observed as shortened colon lengths, increased disease activity index (DAI) scores and pathological damage, higher proinflammatory cytokines and decreased expression of tight junction proteins, were alleviated by SFN treatment.	animal	0.8	DSS-induced UC mouse model; multiple disease markers alleviated
35832050	T2	sulforaphane	Food	increases_abundance_of	Lactobacillus johnsonii	Microbe	SFN also partially restored the perturbed gut microbiota composition and increased production of volatile fatty acids (especially caproic acid) induced by DSS administration. The heatmap correlation analysis indicated that Lactobacillus johnsonii, Bacteroides acidifaciens, unclassified Rikenellaceae RC9, and unclassified Bacteroides were significantly correlated with disease severity.	animal	0.75	SFN restored microbiota composition; Lactobacillus johnsonii correlated with disease severity (lower severity with restoration)
35832050	T3	broccoli	Food	contains	sulforaphane	Bioactive	Sulforaphane (SFN), an isothiocyanate present in cruciferous vegetables such as broccoli and brussels sprouts	mechanistic	0.9	Source identification of sulforaphane
27818126	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
34828992	T1	apple polyphenols extract	Food	decreases_marker	ulcerative colitis	IBD_Outcome	APE significantly ameliorated DSS-induced acute UC through inhibiting intestinal epithelial cell (IEC) apoptosis and the Caspase-1/Caspase-11-dependent pyroptosis pathway	animal	0.8	DSS-induced acute UC mouse model; APE treatment showed significant alleviation of UC symptoms
37346749	T1	Bifidobacterium longum BAA2573	Food	decreases_marker	ulcerative colitis	IBD_Outcome	pretreatment of Bifidobacterium longum BAA2573 given by gavage significantly improved symptoms and histopathological damage in DSS-induced colitis mice	animal	0.8	DSS colitis mouse model; probiotic strain administered as gavage intervention
37346749	T2	Bifidobacterium longum BAA2573	Food	increases_abundance_of	Alistipes	Microbe	the gut microbiome and metabolites were interrelated in the BAA2573 intervention group, while Alistipes was the core genus	animal	0.75	Alistipes identified as core responsive genus following BAA2573 intervention; 57 genera altered but Alistipes emphasized
32949377	T1	Veillonella	Microbe	increased_in	primary sclerosing cholangitis	IBD_Outcome	eight species were consistently overrepresented in both fecal and saliva of patients with PSC, including Veillonella, Scardovia and Streptococcus	cohort	0.85	n=65 (35 PSC, 30 healthy controls); 16S rRNA sequencing; PSC-specific dysbiosis
32949377	T2	Scardovia	Microbe	increased_in	primary sclerosing cholangitis	IBD_Outcome	eight species were consistently overrepresented in both fecal and saliva of patients with PSC, including Veillonella, Scardovia and Streptococcus	cohort	0.85	n=65 (35 PSC, 30 healthy controls); 16S rRNA sequencing; PSC-specific dysbiosis
33651651	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
29462379	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33647259	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
37310366	T1	dealcoholized muscadine wine	Food	decreases_marker	colitis	IBD_Outcome	DMW in all three receiving groups reduced myeloperoxidase activity, histology scores	animal	0.8	DSS-induced colitis mouse model; DMW treatment reduced colitis markers across prevention, treatment, and combined groups
37310366	T2	dealcoholized muscadine wine	Food	increases_abundance_of	Lactobacillaceae	Microbe	enrich SCFA-producing bacteria, including Lactobacillaceae, Lachnospiraceae, Ruminococcaceae, and Peptococcaceae	animal	0.8	DSS-induced colitis mouse model; P+T group showed enrichment of SCFA-producing bacteria families
37310366	T3	dealcoholized muscadine wine	Food	increases_abundance_of	Lachnospiraceae	Microbe	enrich SCFA-producing bacteria, including Lactobacillaceae, Lachnospiraceae, Ruminococcaceae, and Peptococcaceae	animal	0.8	DSS-induced colitis mouse model; P+T group showed enrichment of SCFA-producing bacteria families
37310366	T4	dealcoholized muscadine wine	Food	decreases_abundance_of	Burkholderiaceae	Microbe	This was accompanied by a decrease in pathogenic Burkholderiaceae in mice	animal	0.8	DSS-induced colitis mouse model; DMW P+T group showed decrease in pathogenic Burkholderiaceae
40132355	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39843913	T1	lactulose	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Low-dose lactulose improved symptoms (diarrhea, blood in stool, weight loss) and pathological inflammation.	animal	0.8	DSS rat model; low-dose lactulose intervention
40207229	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35285706	T1	animal protein	Food	increases_abundance_of	Bilophila	Microbe	animal-derived proteins may oppositely modulate the relative abundances of pathobionts Bilophila and Lachnoclostridium	cohort	0.65	Non-significant after multiple-comparison correction; hedged claim ('may')
35285706	T2	animal protein	Food	increases_abundance_of	Lachnoclostridium	Microbe	animal-derived proteins may oppositely modulate the relative abundances of pathobionts Bilophila and Lachnoclostridium	cohort	0.65	Non-significant after multiple-comparison correction; hedged claim ('may')
35285706	T3	plant protein	Food	decreases_abundance_of	Bilophila	Microbe	plant- and animal-derived proteins may oppositely modulate the relative abundances of pathobionts Bilophila and Lachnoclostridium	cohort	0.65	Non-significant after multiple-comparison correction; hedged claim ('may'); inverse direction relative to animal protein
35285706	T4	plant protein	Food	decreases_abundance_of	Lachnoclostridium	Microbe	plant- and animal-derived proteins may oppositely modulate the relative abundances of pathobionts Bilophila and Lachnoclostridium	cohort	0.65	Non-significant after multiple-comparison correction; hedged claim ('may'); inverse direction relative to animal protein
33519783	T1	Bacillus subtilis-fermented milk	Food	decreases_marker	inflammatory bowel disease	IBD_Outcome	the disease activity index (DAI) of IBD was significantly decreased through oral administration of B. subtilis (JNFE0126)-fermented milk, and intestinal mucosa injury was attenuated	animal	0.8	DSS-induced IBD mouse model; outcome measures DAI and intestinal injury
33519783	T2	Bacillus subtilis-fermented milk	Food	increases_abundance_of	Bacillus	Microbe	B. subtilis could rebalance the intestinal flora, increasing the abundance of Bacillus, Alistipes, and Lactobacillus	animal	0.8	DSS mouse model; genus Bacillus
33519783	T3	Bacillus subtilis-fermented milk	Food	increases_abundance_of	Lactobacillus	Microbe	B. subtilis could rebalance the intestinal flora, increasing the abundance of Bacillus, Alistipes, and Lactobacillus	animal	0.8	DSS mouse model; genus Lactobacillus
33519783	T4	Bacillus subtilis-fermented milk	Food	decreases_abundance_of	Escherichia	Microbe	while decreasing the abundance of Escherichia and Bacteroides	animal	0.8	DSS mouse model; genus Escherichia
33519783	T5	Bacillus subtilis-fermented milk	Food	decreases_abundance_of	Bacteroides	Microbe	while decreasing the abundance of Escherichia and Bacteroides	animal	0.8	DSS mouse model; genus Bacteroides
35643175	T1	Mediterranean-like dietary pattern	Food	increases_abundance_of	Ruminococcus	Microbe	DC3, resembling the Mediterranean diet, was strongly associated with a defined microbial composition, with an increased abundance of fiber-degrading bacteria, such as Ruminococcus, as well as taxa such as Faecalibacterium	cohort	0.87	n=2289 healthy FDRs; DC3 Mediterranean-like pattern; emphasized as fiber-degrading bacteria
35643175	T2	Mediterranean-like dietary pattern	Food	increases_abundance_of	Faecalibacterium	Microbe	DC3, resembling the Mediterranean diet, was strongly associated with a defined microbial composition, with an increased abundance of fiber-degrading bacteria, such as Ruminococcus, as well as taxa such as Faecalibacterium	cohort	0.87	n=2289 healthy FDRs; DC3 Mediterranean-like pattern
35643175	T3	Mediterranean-like dietary pattern	Food	decreases_marker	subclinical gastrointestinal inflammation	IBD_Outcome	The DC3 diet was also significantly associated with lower levels of subclinical gut inflammation, defined by fecal calprotectin, compared with other dietary patterns	cohort	0.88	n=2289 healthy FDRs; measured by fecal calprotectin; mediation analysis supports direct and microbiota-mediated effects
34606537	T1	sucralose	Food	increases_marker	ulcerative colitis	IBD_Outcome	administration of sucralose exacerbated the severity of colitis as indicated by the further decrease in body weight, increase in disease activity index (DAI) and the expression of pro-inflammatory cytokines	animal	0.8	DSS-induced UC mouse model; exacerbated disease severity with increased DAI and pro-inflammatory markers
36076980	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
42002170	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35008631	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
28456771	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33150540	T1	short-peptide enteral nutrition with Lactobacillus acidophilus	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Enteral nutrition combined with probiotics can effectively protect the intestinal barrier function of the ileal pouch in rats	animal	0.75	Postoperative recovery study; ileal pouch-anal anastomosis rat model; protective effect on intestinal barrier inferred as decreased inflammatory/tissue damage markers
33150540	T2	Lactobacillus acidophilus	Microbe	increased_in	intestinal microbiota after ileal pouch-anal anastomosis recovery	IBD_Outcome	Enteral nutrition combined with probiotics... via the stable distribution of the intestinal flora	animal	0.7	Probiotic intervention; flora stabilization indicates restored microbiota balance
40869474	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40991166	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
26319951	T1	gallic acid	Food	decreases_marker	ulcerative colitis	IBD_Outcome	A significant blunting of weight loss and clinical symptoms was observed in dextran sodium sulfate (DSS)-exposed, GA-treated mice compared with control mice. This effect was associated with a remarkable amelioration of the disruption of the colonic architecture	animal	0.8	DSS-induced UC mouse model; polyphenol intervention reducing colitis markers
35323707	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33464732	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38542183	T1	Limoncella apple polyphenol extract	Food	decreases_marker	ulcerative colitis	IBD_Outcome	The LAPE was administrated in vivo by oral gavage (3-300 mg/kg) once a day for 3 consecutive days, starting 24 h after the induction of dinitro-benzenesulfonic acid (DNBS) colitis in mice. The results showed that LAPE significantly attenuated histological bowel injury, myeloperoxidase activity, tumor necrosis factor and interleukin (IL-1β) expressions.	animal	0.8	DNBS-induced colitis mouse model; polyphenol extract from Malus domestica cv. 'Limoncella' administered as Food intervention
35902208	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
26269443	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33452801	T1	Enterobacteriaceae	Microbe	increased_in	Crohn's disease	IBD_Outcome	Patients with baseline LN exhibited increased Enterobacteriaceae and inflammatory and extracellular matrix gene signatures, coupled with reduced levels of butyrate-producing commensals	cohort	0.85	Pediatric CD cohort (RISK study); baseline luminal narrowing associated with CD severity
33452801	T2	Lachnospiraceae	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Taxa including Lachnospiraceae and the genus Roseburia were associated with increased respiratory and decreased inflammatory gene signatures	cohort	0.8	Associated with reduced inflammatory gene signatures and better outcomes; implicitly decreased in CD patients with LN
33452801	T3	Roseburia	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Taxa including Lachnospiraceae and the genus Roseburia were associated with increased respiratory and decreased inflammatory gene signatures	cohort	0.8	Associated with reduced inflammatory gene signatures and better outcomes; implicitly decreased in CD patients with LN
34966763	T1	nicotine	Food	decreases_marker	ulcerative colitis	IBD_Outcome	DSS-induced colitis was less severe clinically and histological changes were minimal in the rectum of orally nicotine-administered mice	animal	0.8	DSS-induced colitis mouse model; oral nicotine administration
34966763	T2	nicotine	Food	increases_abundance_of	Clostridium	Microbe	16S rRNA microbiome on the feces revealed an increasing in Clostridium and Porphyromonas in nicotine-administered mice	animal	0.8	DSS mouse model; oral nicotine administration
39526854	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
36828279	T1	psyllium fiber	Food	decreases_marker	colitis	IBD_Outcome	mice consuming psyllium-enriched compositionally defined diets were markedly protected against both dextran sulfate sodium- and T-cell transfer-induced colitis	animal	0.85	Two independent animal models of colitis (DSS and T-cell transfer); robust protection across clinical, histopathologic, morphologic, and immunologic parameters
39805171	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33578241	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40855083	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40400411	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38168274	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39862607	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33525858	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
28139139	T1	Roseburia	Microbe	produces	butyrate	Bioactive	They are part of commensal bacteria producing short-chain fatty acids, especially butyrate	mechanistic	0.85	Direct metabolic production of butyrate by Roseburia spp.
28139139	T2	Roseburia	Microbe	decreased_in	irritable bowel syndrome	IBD_Outcome	Modification in Roseburia spp. representation may affect various metabolic pathways and is associated with several diseases (including irritable bowel syndrome, obesity, Type 2 diabetes, nervous system conditions and allergies)	review	0.7	Review observational linking; uses 'associated with' hedged language
31560044	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
40431448	T1	OttaBac multistrain probiotic plus vitamin D	Food	decreases_marker	IBS without constipation	IBD_Outcome	Mean zonulin values showed a significant progressive reduction in the active group (-10.2 ng/mL at week 12, p = 0.0375; -19.5 ng/mL at week 16, p = 0.0002)	rct	0.87	Double-blind RCT, n=35, zonulin is intestinal permeability marker; IBS without constipation
40431448	T2	OttaBac multistrain probiotic plus vitamin D	Food	increases_abundance_of	Bifidobacterium animalis subsp. lactis	Microbe	In the active group, Bifidobacterium animalis subsp. lactis and Streptococcus thermophilus levels were increased (p < 0.05)	rct	0.87	Double-blind RCT, probiotic constituent strain
40431448	T3	OttaBac multistrain probiotic plus vitamin D	Food	increases_abundance_of	Streptococcus thermophilus	Microbe	In the active group, Bifidobacterium animalis subsp. lactis and Streptococcus thermophilus levels were increased (p < 0.05)	rct	0.87	Double-blind RCT, probiotic constituent strain
40431448	T4	OttaBac multistrain probiotic plus vitamin D	Food	decreases_abundance_of	Lachnospira	Microbe	while those for Lachnospira were decreased (p < 0.05)	rct	0.87	Double-blind RCT
40431448	T5	Bifidobacterium animalis subsp. lactis	Microbe	produces	lactate	Bioactive	Lactate (p < 0.01) and acetate (p < 0.05) levels increased post-treatment	rct	0.8	Mechanistic link: increased lactate post-treatment correlates with increased B. animalis subsp. lactis abundance
40431448	T6	Streptococcus thermophilus	Microbe	produces	lactate	Bioactive	Lactate (p < 0.01) and acetate (p < 0.05) levels increased post-treatment	rct	0.75	Streptococcus thermophilus is well-known lactate producer; increased with treatment
35633101	T1	red wine	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Moderate wine consumption significantly (p < 0.05) improves some clinical parameters related to serum iron, and alleviates intestinal symptoms as evaluated by the IBDQ-32 questionnaire	case_control	0.75	Case control intervention study (n=5 intervention, n=5 control); active phase UC patients; clinical improvement in IBDQ-32 questionnaire
29902437	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
28485486	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35346728	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35681360	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39843786	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
37218007	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35074252	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
30700431	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35268045	T1	taxifolin	Food	decreases_marker	ulcerative colitis	IBD_Outcome	the weight loss and diarrhea score of the mice treated with taxifolin decreased in DSS-induced mice and longer colon length was displayed after taxifolin supplementation	animal	0.8	DSS-induced colitis mouse model; multiple clinical markers improved
35268045	T2	taxifolin	Food	increases_abundance_of	Akkermansia	Microbe	taxifolin reversed the changes of Akkermansia	animal	0.75	DSS model; reversal implies restoration of Akkermansia levels
35268045	T3	taxifolin	Food	decreases_abundance_of	Muribaculaceae	Microbe	further decreased uncultured_bacterium_f_Muribaculaceae	animal	0.75	Muribaculaceae family mapped from 'uncultured_bacterium_f_Muribaculaceae'
35268045	T4	Akkermansia	Microbe	produces	butyric acid	Bioactive	taxifolin significantly increased the levels of butyric acid and isobutyric acid in the feces of DSS-treated mice... taxifolin reversed the changes of Akkermansia	animal	0.75	Akkermansia restoration correlates with butyric acid increase; SCFA production mechanism
35662946	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
37367886	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
39570663	T1	agarooligosaccharides	Food	decreases_abundance_of	Ruminococcus gnavus	Microbe	Agarooligosaccharides (AOS), derived from the acid hydrolysis of agar, have shown significant inhibitory effects on the growth of R. gnavus and F. nucleatum at concentrations of 0.1 and 0.2%, respectively.	mechanistic	0.8	In vitro inhibitory effect with mechanistic evidence (fab gene downregulation, fatty acid composition changes)
39570663	T2	agarooligosaccharides	Food	decreases_abundance_of	Fusobacterium nucleatum	Microbe	Agarooligosaccharides (AOS), derived from the acid hydrolysis of agar, have shown significant inhibitory effects on the growth of R. gnavus and F. nucleatum at concentrations of 0.1 and 0.2%, respectively.	mechanistic	0.8	In vitro inhibitory effect
39570663	T3	agarooligosaccharides	Food	decreases_abundance_of	Lachnospiraceae	Microbe	In vivo studies using mice demonstrated a significant reduction in the Lachnospiraceae family, to which R. gnavus belongs, following AOS administration.	animal	0.8	Mouse model demonstrating selective prebiotic effect
38140353	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38501018	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33801755	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
34572293	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35092428	T1	Wumei decoction	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Severe chronic colitis was observed in mice after DSS exposure and in Rag1-/- mice reconstituted with CD45RBhighCD4+ T cells, as manifested by weight loss, hematochezia, and shortening and thickening of the colon, which were reversed by WMD treatment.	animal	0.8	DSS-induced chronic colitis and T-cell transfer colitis models; WMD treatment reversed pathological manifestations
